BoreName,HydroID,HydroCode,StateBoreID,StatePipeID,StateTerritory,Agency,WCode,BoreDepth,DrilledDepth,Status,DrilledDate,HGUID,HGUNumber,HGUName,NafHGUNumber,AquiferType,FType,Latitude,Longitude,Easting,Northing,Projection,ProjectionZone,CoordMethod,HeightDatum,GALandElev,GALandElevMethod,RefElev,RefElevDesc,RefElevMethod,FTypeClass,ConstructionLog,LithLog,HydrostratLog,WaterLevel,Salinity,AddedBy,Comment,Source,QAQCd_By,QAQC_date,geometry
,10000037,GW009673.1.1,GW009673,1.1,1,1.0,8.0,79.2,,UNK,1951-01-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,UNK,-31.343751,143.2784736,716759.0,6530058.0,1.0,54.0,MAP,AHD,92.0,DEM,92.0,UNK,DEM,Unknown,0.0,0.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1061377.708099999 -3460760.5156)
,10000045,GW036806.2.1,GW036806,2.1,1,1.0,8.0,,,UNK,,-19999999.0,-9999.0,Unknown,-9999.0,,UNK,-31.7415,143.3172,719512.5,6485883.1,1.0,54.0,MAP,AHD,74.35,LIDAR,74.35,NGS,LIDAR,Unknown,0.0,0.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1061073.427200001 -3505434.235200001)
,10000076,GW007314.1.1,GW007314,1.1,1,1.0,8.0,55.8,55.8,UNK,1946-12-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,STOK,-30.9662372,144.8870603,298193.0,6572225.0,1.0,55.0,MAP,AHD,113.0,DEM,113.0,UNK,DEM,Stock and Domestic,1.0,1.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1216532.1734 -3433010.327199999)
,10000087,GW018466.1.1,GW018466,1.1,1,1.0,8.0,44.2,44.2,UNK,1960-06-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,STOK,-30.7512468,143.6890183,757419.0,6594876.0,1.0,54.0,MAP,AHD,92.0,DEM,92.0,UNK,DEM,Stock and Domestic,0.0,1.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1105970.175299998 -3398146.753)
,10000088,GW003441.1.1,GW003441,1.1,1,1.0,8.0,97.8,97.8,UNK,1936-11-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,STOK,-31.2976378,143.4793042,735985.0,6534758.0,1.0,54.0,MAP,AHD,101.0,DEM,101.0,UNK,DEM,Stock and Domestic,0.0,1.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1080690.0625 -3457301.161499999)
,10000096,GW019750.1.1,GW019750,1.1,1,1.0,8.0,253.0,253.0,UNK,1960-09-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,STOK,-30.256248,143.8181769,771160.0,6649458.0,1.0,54.0,MAP,AHD,103.0,DEM,103.0,UNK,DEM,Stock and Domestic,1.0,1.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1123280.0638 -3344037.2292)
,10000115,GW006369.1.1,GW006369,1.1,1,1.0,8.0,46.3,46.3,UNK,1938-08-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,STOK,-30.8798472,145.0853891,316975.0,6582144.0,1.0,55.0,MAP,AHD,228.0,DEM,228.0,UNK,DEM,Stock and Domestic,1.0,1.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1236178.777899999 -3425286.6324)
,10000118,GW003504.1.1,GW003504,1.1,1,1.0,8.0,40.8,40.8,NON,1937-05-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,STOK,-31.0337452,143.88902,775761.0,6563072.0,1.0,54.0,MAP,AHD,96.0,DEM,96.0,UNK,DEM,Stock and Domestic,0.0,1.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1121898.581599999 -3431402.4933)
,10000119,GW003712.1.1,GW003712,1.1,1,1.0,8.0,167.3,167.3,UNK,1940-05-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,STOK,-30.5306909,143.8901235,777308.0,6618853.0,1.0,54.0,MAP,AHD,95.0,DEM,95.0,UNK,DEM,Stock and Domestic,1.0,1.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1127240.199299999 -3375296.332)
,10000165,GW012153.1.1,GW012153,1.1,1,1.0,8.0,88.4,88.4,UNK,1957-10-01T00:00:00,-19999999.0,-9999.0,Unknown,-9999.0,,STOK,-30.362904,145.0334398,311005.0,6639361.0,1.0,55.0,MAP,AHD,117.0,DEM,117.0,UNK,DEM,Stock and Domestic,1.0,1.0,0.0,0.0,0.0,Neil Symington,,NGIS,,,POINT (1237187.284899998 -3367161.885399999)
