BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
40152181,10641A,,478.8,,-332.49,PFC,UNK,,,SLAP,,UNK,1,
40152181,10641A,,131.1,,15.21,LIN,STL,,127.0,UNK,,UNK,1,
40152181,10641A,,473.0,,-326.69,LIN,STL,,152.0,UNK,,UNK,1,
40152181,10641A,0.0,61.0,146.31,85.31,LIN,STL,,203.0,UNK,,UNK,1,
40146604,11591A,,159.2,,-19.33,LIN,STL,,127.0,UNK,,UNK,1,
40146604,11591A,,160.1,,-20.23,PFC,UNK,,,SLAP,,UNK,1,
40146604,11591A,0.0,49.4,139.87,90.47,LIN,STL,,152.0,UNK,,UNK,1,
40143307,12104A,472.1,472.1,-324.89,-324.89,OPEN,UNK,,,UNK,,UNK,1,
40143307,12104A,,458.4,,-311.19,LIN,STL,,152.0,UNK,,UNK,1,
40143307,12104A,0.0,75.6,147.21,71.61,LIN,STL,,203.0,UNK,,UNK,1,
40149635,12214A,0.0,92.4,144.86,52.46,LIN,STL,,152.0,UNK,,UNK,1,
40149635,12214A,,365.3,,-220.44,LIN,STL,,127.0,UNK,,UNK,1,
40149635,12214A,370.5,370.5,-225.64,-225.64,OPEN,UNK,,,UNK,,UNK,1,
40136062,12472A,0.0,61.6,145.7,84.1,LIN,STL,,152.0,UNK,,UNK,1,
40136062,12472A,,346.1,,-200.4,LIN,STL,,127.0,UNK,,UNK,1,
40136062,12472A,339.0,346.1,-193.3,-200.4,PFC,UNK,,,SLAP,,UNK,1,
40136062,12472A,0.0,61.6,145.7,84.1,SEAL,CMT,,168.0,UNK,,UNK,1,
40151891,12580A,0.0,110.4,144.84,34.44,LIN,STL,,152.0,UNK,,UNK,1,
40151891,12580A,,518.5,,-373.66,PFC,UNK,,,SLAP,,UNK,1,
40151891,12580A,,518.5,,-373.66,LIN,STL,,127.0,UNK,,UNK,1,
40146373,13260A,,434.6,,-291.09,LIN,STL,,127.0,UNK,,UNK,1,
40146373,13260A,424.3,424.3,-280.79,-280.79,OPEN,UNK,,,UNK,,UNK,1,
40146373,13260A,0.0,20.8,143.51,122.71,LIN,STL,,203.0,UNK,,UNK,1,
40146373,13260A,,92.4,,51.11,LIN,STL,,152.0,UNK,,UNK,1,
40150892,14100A,0.0,90.8,144.08,53.28,LIN,STL,,152.0,UNK,,UNK,1,
40150892,14100A,,359.9,,-215.82,LIN,STL,,127.0,UNK,,UNK,1,
40141615,18194A,0.0,18.6,140.56,121.96,LIN,STL,,203.0,UNK,,UNK,1,
40141615,18194A,,71.0,,69.56,LIN,STL,,152.0,UNK,,UNK,1,
40141615,18194A,497.1,497.1,-356.54,-356.54,OPEN,UNK,,,UNK,,UNK,1,
40137532,7080A,0.0,245.3,135.27,-110.03,LIN,STL,,152.0,UNK,,UNK,1,
40137532,7080A,0.0,45.5,135.27,89.77,SEAL,CMT,,,UNK,,UNK,1,
40137532,7080A,0.0,45.5,135.27,89.77,LIN,STL,,203.0,UNK,,UNK,1,
40095561,7105A,0.0,239.0,132.65,-106.35,LIN,STL,,152.0,UNK,,UNK,1,
40095561,7105A,239.0,242.6,-106.35,-109.95,VOID,UNK,,,UNK,,UNK,1,
40095561,7105A,0.0,57.9,132.65,74.75,SEAL,CMT,,,UNK,,UNK,1,
40095561,7105A,0.0,57.9,132.65,74.75,LIN,STL,,203.0,UNK,,UNK,1,
40005648,7114A,82.0,94.7,53.1,40.4,VOID,UNK,,,UNK,,UNK,1,
40005648,7114A,,82.0,,53.1,LIN,STL,,152.0,UNK,,UNK,1,
40005648,7114A,0.0,40.5,135.1,94.6,SEAL,CMT,,,UNK,,UNK,1,
40005648,7114A,0.0,40.5,135.1,94.6,LIN,STL,,203.0,UNK,,UNK,1,
40142426,6963A,0.0,49.1,133.02,83.92,LIN,STL,,152.0,UNK,,UNK,1,
40142426,6963A,,360.5,,-227.48,LIN,STL,,127.0,UNK,,UNK,1,
40142426,6963A,,390.4,,-257.38,PFC,UNK,,,SLAP,,UNK,1,
40105296,26246A,0.0,127.9,134.93,7.03,LIN,STL,,177.0,UNK,,UNK,1,
