BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,GALithType,MajorLithCode,MinorLithCode,Description,Source,LogType,geometry
40090280,4516,0.0,496.82,143.6,-353.22,unk,UNKN,,NO STRATA DETAILS,QLD DNRME GWDB,1.0,
40152181,10641A,0.0,1.83,146.31,144.48,unk,UNKN,,RED SOIL,QLD DNRME GWDB,1.0,
40152181,10641A,1.83,14.02,144.48,132.29,sandstone,SANDSTONE,,SANDSTONE & CLAY,QLD DNRME GWDB,1.0,
40152181,10641A,14.02,17.07,132.29,129.24,unk,UNKN,,SALT WATER,QLD DNRME GWDB,1.0,
40152181,10641A,17.07,20.12,129.24,126.19,clay,CLAY,,COLOURED CLAYS,QLD DNRME GWDB,1.0,
40152181,10641A,20.12,25.3,126.19,121.01,sand,SAND,,DRIFT SAND,QLD DNRME GWDB,1.0,
40152181,10641A,25.3,26.82,121.01,119.49,clay,CLAY,,HARD CLAYS,QLD DNRME GWDB,1.0,
40152181,10641A,26.82,32.0,119.49,114.31,limestone,LIMESTONE,,LIMESTONE,QLD DNRME GWDB,1.0,
40152181,10641A,32.0,38.1,114.31,108.21,clay,CLAY,,HARD CLAY,QLD DNRME GWDB,1.0,
40152181,10641A,38.1,51.82,108.21,94.49,shale,SHALE,,BROWN SHALE,QLD DNRME GWDB,1.0,
40152181,10641A,51.82,64.01,94.49,82.3,shale,SHALE,,HARD GREY SHALE,QLD DNRME GWDB,1.0,
40152181,10641A,64.01,64.62,82.3,81.69,shale,SHALE,,GREY SHALE,QLD DNRME GWDB,1.0,
40152181,10641A,64.62,94.49,81.69,51.82,shale,SHALE,,GREY SHALE,QLD DNRME GWDB,1.0,
40152181,10641A,94.49,97.54,51.82,48.77,sand,SAND,,DRIFT SAND,QLD DNRME GWDB,1.0,
40152181,10641A,97.54,108.2,48.77,38.11,clay,CLAY,,GRAVELLY & BLUE CLAY,QLD DNRME GWDB,1.0,
40152181,10641A,108.2,109.73,38.11,36.58,sand,SAND,,DRIFT SAND,QLD DNRME GWDB,1.0,
40152181,10641A,109.73,173.74,36.58,-27.43,clay,CLAY,,BLUE CLAY & BLUE SHALE,QLD DNRME GWDB,1.0,
40152181,10641A,173.74,190.5,-27.43,-44.19,sandstone,SANDSTONE,,GRAVELLY SANDSTONE,QLD DNRME GWDB,1.0,
40152181,10641A,190.5,213.36,-44.19,-67.05,sandstone,SANDSTONE,,BLUE SANDY SANDSTONE & CLAY,QLD DNRME GWDB,1.0,
40152181,10641A,213.36,304.8,-67.05,-158.49,shale,SHALE,,GRAVELLY SHALE,QLD DNRME GWDB,1.0,
40152181,10641A,304.8,341.38,-158.49,-195.07,shale,SHALE,,BLUE SHALE,QLD DNRME GWDB,1.0,
40152181,10641A,341.38,344.42,-195.07,-198.11,shale,SHALE,,BLUE GRAVELLY SHALE,QLD DNRME GWDB,1.0,
