BoreID	HydroCode	FromDepth	GA_UNIT	X	Y	TopElev
10083078	GW003241.1.1	0.0	Shepparton Formation	180281.94456653495	6468760.745169853	93.0
10083078	GW003241.1.1	6.1	Shepparton Formation	180281.94456653495	6468760.745169853	86.9
10083078	GW003241.1.1	20.73	Shepparton Formation	180281.94456653495	6468760.745169853	72.27
10083078	GW003241.1.1	51.21	Calivil Formation	180281.94456653495	6468760.745169853	41.79
10083078	GW003241.1.1	59.74	Calivil Formation	180281.94456653495	6468760.745169853	33.26
10083078	GW003241.1.1	91.74	Renmark Group	180281.94456653495	6468760.745169853	1.26
10083078	GW003241.1.1	114.6	Renmark Group	180281.94456653495	6468760.745169853	-21.6
10083078	GW003241.1.1	118.87	Renmark Group	180281.94456653495	6468760.745169853	-25.87
10089961	GW003390.1.1	0.0	Shepparton Formation	168716.72917144536	6465000.324897302	77.0
10089961	GW003390.1.1	6.1	Shepparton Formation	168716.72917144536	6465000.324897302	70.9
10089961	GW003390.1.1	6.71	Shepparton Formation	168716.72917144536	6465000.324897302	70.29
10089961	GW003390.1.1	26.52	Shepparton Formation	168716.72917144536	6465000.324897302	50.48
10089961	GW003390.1.1	33.53	Shepparton Formation	168716.72917144536	6465000.324897302	43.47
10089961	GW003390.1.1	43.59	Shepparton Formation	168716.72917144536	6465000.324897302	33.41
10089961	GW003390.1.1	48.77	Shepparton Formation	168716.72917144536	6465000.324897302	28.23
10089961	GW003390.1.1	51.82	Renmark Group	168716.72917144536	6465000.324897302	25.18
10089961	GW003390.1.1	52.73	Renmark Group	168716.72917144536	6465000.324897302	24.27
10089961	GW003390.1.1	60.96	Renmark Group	168716.72917144536	6465000.324897302	16.04
10089961	GW003390.1.1	72.24	Renmark Group	168716.72917144536	6465000.324897302	4.76
10089961	GW003390.1.1	80.47	Renmark Group	168716.72917144536	6465000.324897302	-3.47
10089961	GW003390.1.1	80.77	Renmark Group	168716.72917144536	6465000.324897302	-3.77
10089961	GW003390.1.1	83.52	Renmark Group	168716.72917144536	6465000.324897302	-6.52
10089961	GW003390.1.1	86.26	Renmark Group	168716.72917144536	6465000.324897302	-9.26
10089961	GW003390.1.1	86.56	Renmark Group	168716.72917144536	6465000.324897302	-9.56
10089961	GW003390.1.1	87.48	Renmark Group	168716.72917144536	6465000.324897302	-10.48
10099093	GW003406.1.1	0.0	Shepparton Formation	154426.91459951166	6464990.707243845	73.03
10099093	GW003406.1.1	4.57	Shepparton Formation	154426.91459951166	6464990.707243845	68.46
10099093	GW003406.1.1	21.34	Shepparton Formation	154426.91459951166	6464990.707243845	51.69
10099093	GW003406.1.1	26.82	Shepparton Formation	154426.91459951166	6464990.707243845	46.21
10099093	GW003406.1.1	27.74	Loxton Sand	154426.91459951166	6464990.707243845	45.29
10099093	GW003406.1.1	27.74	Renmark Group	154426.91459951166	6464990.707243845	45.29
10099093	GW003406.1.1	29.57	Loxton Sand	154426.91459951166	6464990.707243845	43.46
10099093	GW003406.1.1	29.57	Renmark Group	154426.91459951166	6464990.707243845	43.46
10099093	GW003406.1.1	33.22	Loxton Sand	154426.91459951166	6464990.707243845	39.81
10099093	GW003406.1.1	33.22	Renmark Group	154426.91459951166	6464990.707243845	39.81
10099093	GW003406.1.1	36.88	Loxton Sand	154426.91459951166	6464990.707243845	36.15
10099093	GW003406.1.1	36.88	Renmark Group	154426.91459951166	6464990.707243845	36.15
10099093	GW003406.1.1	57.3	Renmark Group	154426.91459951166	6464990.707243845	15.73
10079539	GW003671.1.1	0.0	Shepparton Formation	128067.98429372907	6454345.354404256	72.0
10079539	GW003671.1.1	9.14	Shepparton Formation	128067.98429372907	6454345.354404256	62.86
10079539	GW003671.1.1	24.69	Loxton Sand	128067.98429372907	6454345.354404256	47.31
10079539	GW003671.1.1	24.69	Renmark Group	128067.98429372907	6454345.354404256	47.31
10079539	GW003671.1.1	36.88	Loxton Sand	128067.98429372907	6454345.354404256	35.12
10079539	GW003671.1.1	36.88	Renmark Group	128067.98429372907	6454345.354404256	35.12
10079539	GW003671.1.1	39.62	Loxton Sand	128067.98429372907	6454345.354404256	32.38
10079539	GW003671.1.1	39.62	Renmark Group	128067.98429372907	6454345.354404256	32.38
10079539	GW003671.1.1	40.23	Loxton Sand	128067.98429372907	6454345.354404256	31.77
10079539	GW003671.1.1	40.23	Renmark Group	128067.98429372907	6454345.354404256	31.77
10079539	GW003671.1.1	44.2	Loxton Sand	128067.98429372907	6454345.354404256	27.8
10079539	GW003671.1.1	44.2	Renmark Group	128067.98429372907	6454345.354404256	27.8
10079539	GW003671.1.1	48.77	Loxton Sand	128067.98429372907	6454345.354404256	23.23
10079539	GW003671.1.1	48.77	Renmark Group	128067.98429372907	6454345.354404256	23.23
10079539	GW003671.1.1	63.09	Loxton Sand	128067.98429372907	6454345.354404256	8.91
10079539	GW003671.1.1	63.09	Renmark Group	128067.98429372907	6454345.354404256	8.91
10079539	GW003671.1.1	63.4	Loxton Sand	128067.98429372907	6454345.354404256	8.6
10079539	GW003671.1.1	63.4	Renmark Group	128067.98429372907	6454345.354404256	8.6
10079539	GW003671.1.1	71.63	Renmark Group	128067.98429372907	6454345.354404256	0.37
10079539	GW003671.1.1	75.59	Renmark Group	128067.98429372907	6454345.354404256	-3.59
10079539	GW003671.1.1	76.2	Renmark Group	128067.98429372907	6454345.354404256	-4.2
10079539	GW003671.1.1	77.72	Renmark Group	128067.98429372907	6454345.354404256	-5.72
10079539	GW003671.1.1	79.55	Renmark Group	128067.98429372907	6454345.354404256	-7.55
10079539	GW003671.1.1	85.65	Renmark Group	128067.98429372907	6454345.354404256	-13.65
10079539	GW003671.1.1	86.56	Renmark Group	128067.98429372907	6454345.354404256	-14.56
10079539	GW003671.1.1	92.05	Renmark Group	128067.98429372907	6454345.354404256	-20.05
10079539	GW003671.1.1	92.66	Renmark Group	128067.98429372907	6454345.354404256	-20.66
10079539	GW003671.1.1	93.27	Renmark Group	128067.98429372907	6454345.354404256	-21.27
10047847	GW006403.1.1	0.0	Shepparton Formation	173457.54057537223	6455806.369320761	74.0
10047847	GW006403.1.1	0.61	Shepparton Formation	173457.54057537223	6455806.369320761	73.39
10047847	GW006403.1.1	2.44	Shepparton Formation	173457.54057537223	6455806.369320761	71.56
10047847	GW006403.1.1	3.66	Shepparton Formation	173457.54057537223	6455806.369320761	70.34
10047847	GW006403.1.1	9.14	Loxton Sand	173457.54057537223	6455806.369320761	64.86
10047847	GW006403.1.1	9.14	Renmark Group	173457.54057537223	6455806.369320761	64.86
10047847	GW006403.1.1	9.14	Shepparton Formation	173457.54057537223	6455806.369320761	64.86
10047847	GW006403.1.1	17.68	Loxton Sand	173457.54057537223	6455806.369320761	56.32
10047847	GW006403.1.1	17.68	Renmark Group	173457.54057537223	6455806.369320761	56.32
10047847	GW006403.1.1	20.42	Loxton Sand	173457.54057537223	6455806.369320761	53.58
10047847	GW006403.1.1	20.42	Renmark Group	173457.54057537223	6455806.369320761	53.58
10091178	GW006683.1.1	0.0	Shepparton Formation	156250.3773516859	6453822.015042571	73.0
10091178	GW006683.1.1	0.0	Shepparton Formation	156250.3773516859	6453822.015042571	73.0
10091178	GW006683.1.1	3.35	Loxton Sand	156250.3773516859	6453822.015042571	69.65
10091178	GW006683.1.1	3.35	Renmark Group	156250.3773516859	6453822.015042571	69.65
10091178	GW006683.1.1	5.79	Loxton Sand	156250.3773516859	6453822.015042571	67.21
10091178	GW006683.1.1	5.79	Renmark Group	156250.3773516859	6453822.015042571	67.21
10091178	GW006683.1.1	6.4	Loxton Sand	156250.3773516859	6453822.015042571	66.6
10091178	GW006683.1.1	6.4	Renmark Group	156250.3773516859	6453822.015042571	66.6
10091178	GW006683.1.1	8.84	Loxton Sand	156250.3773516859	6453822.015042571	64.16
10091178	GW006683.1.1	8.84	Renmark Group	156250.3773516859	6453822.015042571	64.16
10091178	GW006683.1.1	9.75	Loxton Sand	156250.3773516859	6453822.015042571	63.25
10091178	GW006683.1.1	9.75	Renmark Group	156250.3773516859	6453822.015042571	63.25
10091178	GW006683.1.1	11.89	Loxton Sand	156250.3773516859	6453822.015042571	61.11
10091178	GW006683.1.1	11.89	Renmark Group	156250.3773516859	6453822.015042571	61.11
10091178	GW006683.1.1	14.63	Loxton Sand	156250.3773516859	6453822.015042571	58.37
10091178	GW006683.1.1	14.63	Renmark Group	156250.3773516859	6453822.015042571	58.37
10091178	GW006683.1.1	16.46	Loxton Sand	156250.3773516859	6453822.015042571	56.54
10091178	GW006683.1.1	16.46	Renmark Group	156250.3773516859	6453822.015042571	56.54
10091178	GW006683.1.1	19.51	Loxton Sand	156250.3773516859	6453822.015042571	53.49
10091178	GW006683.1.1	19.51	Renmark Group	156250.3773516859	6453822.015042571	53.49
10091178	GW006683.1.1	22.25	Loxton Sand	156250.3773516859	6453822.015042571	50.75
10091178	GW006683.1.1	22.25	Renmark Group	156250.3773516859	6453822.015042571	50.75
10091178	GW006683.1.1	23.47	Loxton Sand	156250.3773516859	6453822.015042571	49.53
10091178	GW006683.1.1	23.47	Renmark Group	156250.3773516859	6453822.015042571	49.53
10091178	GW006683.1.1	34.75	Loxton Sand	156250.3773516859	6453822.015042571	38.25
10091178	GW006683.1.1	34.75	Renmark Group	156250.3773516859	6453822.015042571	38.25
10053670	GW007720.1.1	6.71	Loxton Sand	185319.73796636827	6459849.226703236	99.29
10053670	GW007720.1.1	6.71	Renmark Group	185319.73796636827	6459849.226703236	99.29
10053670	GW007720.1.1	8.53	Loxton Sand	185319.73796636827	6459849.226703236	97.47
10053670	GW007720.1.1	8.53	Renmark Group	185319.73796636827	6459849.226703236	97.47
10053670	GW007720.1.1	10.97	Loxton Sand	185319.73796636827	6459849.226703236	95.03
10053670	GW007720.1.1	10.97	Renmark Group	185319.73796636827	6459849.226703236	95.03
10053670	GW007720.1.1	14.02	Loxton Sand	185319.73796636827	6459849.226703236	91.98
10053670	GW007720.1.1	14.02	Renmark Group	185319.73796636827	6459849.226703236	91.98
10045793	GW007807.1.1	18.29	Loxton Sand	185353.97339491697	6461299.848196225	91.71
10045793	GW007807.1.1	18.29	Renmark Group	185353.97339491697	6461299.848196225	91.71
10045793	GW007807.1.1	21.34	Loxton Sand	185353.97339491697	6461299.848196225	88.66
10045793	GW007807.1.1	21.34	Renmark Group	185353.97339491697	6461299.848196225	88.66
10045793	GW007807.1.1	24.38	Loxton Sand	185353.97339491697	6461299.848196225	85.62
10045793	GW007807.1.1	24.38	Renmark Group	185353.97339491697	6461299.848196225	85.62
10045793	GW007807.1.1	25.91	Loxton Sand	185353.97339491697	6461299.848196225	84.09
10045793	GW007807.1.1	25.91	Renmark Group	185353.97339491697	6461299.848196225	84.09
10045793	GW007807.1.1	29.87	Loxton Sand	185353.97339491697	6461299.848196225	80.13
10045793	GW007807.1.1	29.87	Renmark Group	185353.97339491697	6461299.848196225	80.13
10045793	GW007807.1.1	32.31	Loxton Sand	185353.97339491697	6461299.848196225	77.69
10045793	GW007807.1.1	32.31	Renmark Group	185353.97339491697	6461299.848196225	77.69
10045793	GW007807.1.1	33.53	Loxton Sand	185353.97339491697	6461299.848196225	76.47
10045793	GW007807.1.1	33.53	Renmark Group	185353.97339491697	6461299.848196225	76.47
10045793	GW007807.1.1	35.05	Loxton Sand	185353.97339491697	6461299.848196225	74.95
10045793	GW007807.1.1	35.05	Renmark Group	185353.97339491697	6461299.848196225	74.95
10045793	GW007807.1.1	39.62	Loxton Sand	185353.97339491697	6461299.848196225	70.38
10045793	GW007807.1.1	39.62	Renmark Group	185353.97339491697	6461299.848196225	70.38
10045793	GW007807.1.1	40.84	Loxton Sand	185353.97339491697	6461299.848196225	69.16
10045793	GW007807.1.1	40.84	Renmark Group	185353.97339491697	6461299.848196225	69.16
10049581	GW008852.1.1	0.0	Shepparton Formation	145774.95811957942	6473149.322514007	72.5
10049581	GW008852.1.1	11.28	Loxton Sand	145774.95811957942	6473149.322514007	61.22
10049581	GW008852.1.1	11.28	Renmark Group	145774.95811957942	6473149.322514007	61.22
10049581	GW008852.1.1	15.24	Loxton Sand	145774.95811957942	6473149.322514007	57.26
10049581	GW008852.1.1	15.24	Renmark Group	145774.95811957942	6473149.322514007	57.26
10027658	GW010165.1.1	0.0	Shepparton Formation	160105.04736073513	6482703.364393178	90.85
10027658	GW010165.1.1	15.24	Shepparton Formation	160105.04736073513	6482703.364393178	75.61
10027658	GW010165.1.1	18.29	Shepparton Formation	160105.04736073513	6482703.364393178	72.56
10027658	GW010165.1.1	27.43	Loxton Sand	160105.04736073513	6482703.364393178	63.42
10027658	GW010165.1.1	27.43	Renmark Group	160105.04736073513	6482703.364393178	63.42
10027658	GW010165.1.1	60.35	Renmark Group	160105.04736073513	6482703.364393178	30.5
10021940	GW010436.1.1	0.0	Shepparton Formation	161499.501785413	6471581.963118635	79.0
10021940	GW010436.1.1	6.1	Shepparton Formation	161499.501785413	6471581.963118635	72.9
10021940	GW010436.1.1	9.14	Shepparton Formation	161499.501785413	6471581.963118635	69.86
10021940	GW010436.1.1	12.19	Shepparton Formation	161499.501785413	6471581.963118635	66.81
10021940	GW010436.1.1	19.81	Shepparton Formation	161499.501785413	6471581.963118635	59.19
10021940	GW010436.1.1	21.34	Shepparton Formation	161499.501785413	6471581.963118635	57.66
10021940	GW010436.1.1	25.91	Loxton Sand	161499.501785413	6471581.963118635	53.09
10021940	GW010436.1.1	25.91	Renmark Group	161499.501785413	6471581.963118635	53.09
10021940	GW010436.1.1	29.26	Loxton Sand	161499.501785413	6471581.963118635	49.74
10021940	GW010436.1.1	29.26	Renmark Group	161499.501785413	6471581.963118635	49.74
10021940	GW010436.1.1	33.53	Loxton Sand	161499.501785413	6471581.963118635	45.47
10021940	GW010436.1.1	33.53	Renmark Group	161499.501785413	6471581.963118635	45.47
10021940	GW010436.1.1	38.1	Loxton Sand	161499.501785413	6471581.963118635	40.9
10021940	GW010436.1.1	38.1	Renmark Group	161499.501785413	6471581.963118635	40.9
10089672	GW010447.1.1	0.0	Shepparton Formation	143820.94722810457	6470243.005648646	71.1
10089672	GW010447.1.1	7.62	Loxton Sand	143820.94722810457	6470243.005648646	63.48
10089672	GW010447.1.1	7.62	Renmark Group	143820.94722810457	6470243.005648646	63.48
10089672	GW010447.1.1	36.58	Loxton Sand	143820.94722810457	6470243.005648646	34.52
