HydroCode	HydroID	X	Y	GALandElev	DrilledDepth
GW009673.1.1	10000037	145886.30552089255	6526313.419396911	92.0	0.0
GW036806.2.1	10000045	151059.40195983974	6482311.701281415	74.35	0.0
GW007314.1.1	10000076	298193.2523800579	6572224.657852521	113.0	55.8
GW018466.1.1	10000087	183011.31800415716	6593279.270379795	92.0	44.2
GW003441.1.1	10000088	164843.72891313443	6532058.093057756	101.0	97.8
GW019750.1.1	10000096	193833.9904675053	6648533.478839191	103.0	253.0
GW006369.1.1	10000115	316974.62673304684	6582144.033099029	228.0	46.3
GW003504.1.1	10000118	203042.78233578382	6562499.427443389	96.0	40.8
GW003712.1.1	10000119	201596.93605885515	6618290.944374669	95.0	167.3
GW012153.1.1	10000165	311005.44826967886	6639360.956129481	117.0	88.4
GW011198.1.1	10000193	182245.1109199641	6602969.629838788	86.0	68.6
GW009674.1.1	10000405	173099.19435180887	6524669.93313001	75.11	0.0
GW004269.1.1	10000457	200523.99796284921	6658336.77493264	110.0	164.0
GW010127.1.1	10000588	257640.94929295054	6678819.436924364	104.0	250.2
GW028094.1.1	10000628	551566.9457785586	6621763.987524165	137.0	9.1
GW003791.1.1	10000760	312170.2913171913	6726784.989162516	145.0	134.1
GW006762.1.1	10000783	323863.8805720052	6651833.952244219	107.0	184.7
GW011348.1.1	10000955	202286.5816923846	6582887.797703799	89.0	133.5
GW004138.1.1	10001002	253009.9970329648	6647505.003936388	95.19209289550781	286.5
GW016685.1.1	10001062	184084.353519873	6613877.389667902	91.0	123.4
GW031429.1.1	10001071	224929.5215726564	6517438.143612836	80.18	15.3
GW008363.1.1	10001158	356046.47885588673	6707666.464402337	127.0	554.7
GW019703.1.1	10001402	477532.26727622654	6666835.218550963	121.0	12.8
GW004565.1.1	10001415	315823.92928616697	6688165.816231336	108.48104095458984	0.0
GW010738.1.1	10001423	199115.8364725752	6477132.505062269	123.0	89.0
GW008410.1.1	10001516	371145.73217572056	6705234.233733311	125.0	494.7
GW004411.1.1	10001532	239142.40407037397	6678521.147346821	101.33616638183594	382.8
GW273287.1.1	10001549	588363.9943425818	6643360.006656961	133.0	755.0
GW016879.1.1	10001596	176865.74242701812	6619707.491400576	99.0	129.5
GW044562.1.1	10001598	333778.31549396546	6564217.079060584	196.0	77.0
GW026736.1.1	10001712	128619.40134764212	6497416.883753738	93.0	88.4
GW026735.1.1	10001793	136015.1919497149	6499654.271418124	85.0	82.3
GW010358.1.1	10001803	370322.3377149942	6688352.90847287	107.0	349.6
GW034746.1.1	10001874	199030.8786298731	6486350.014914498	173.0	26.2
GW047355.1.1	10001875	371212.9381306422	6678664.983589638	102.0	194.8
GW011221.1.1	10001892	215346.47327440558	6597855.32517218	93.0	67.1
GW017282.1.1	10002156	206694.67693994287	6559086.591733542	103.0	70.7
GW019747.1.1	10002261	194095.00563099043	6656432.92030659	126.0	313.9
GW045240.1.1	10002270	284306.1982457205	6573677.084899649	94.06	45.7
GW034971.1.1	10002559	167741.836791676	6479682.760980982	87.0	37.3
GW010291.1.1	10002576	285180.09207550774	6532133.042098466	116.0	0.0
GW036839.2.1	10002702	167248.74251661554	6500647.758539559	79.76	0.0
GW016843.1.1	10002829	381002.0864937959	6609284.698208731	174.0	45.7
GW034972.1.1	10002857	168896.01507468522	6476573.635289497	80.0	61.3
GW010143.1.1	10002921	117208.0652704729	6488853.113304839	100.0	0.0
GW004581.1.1	10003053	196201.40129075543	6638487.857669195	90.0	234.7
GW003339.1.1	10003061	136642.87339217856	6571814.729255889	125.0	0.0
GW006167.1.1	10003105	315737.5108423262	6696602.656327329	113.0	125.9
GW007251.1.1	10003130	458535.7653236331	6753393.923470545	129.0	0.0
GW016881.1.1	10003142	122801.52935329394	6543035.143009249	121.0	95.7
GW004044.1.3	10003204	547050.9995967892	6625078.00609704	132.28	0.0
GW088331.1.1	10003237	381251.4999245614	6647230.925871589	99.82	15.0
GW010582.1.1	10003243	186778.96836140897	6608375.173109056	86.0	96.0
GW019373.1.1	10003244	176561.77473966184	6601381.653580404	84.0	89.9
GW040157.1.1	10003323	157987.02870839223	6448296.238044861	70.0	0.0
GW804842.1.1	10003401	398285.9910480654	6670829.009638088	105.81	13.0
GW031743.1.1	10003527	176131.33788718382	6484391.6842640545	81.0	84.4
GW042679.1.1	10003560	177946.46902072942	6459341.9035696415	79.0	71.8
GW016711.1.1	10003583	200443.08870532946	6593626.686340262	87.0	29.9
GW031408.1.1	10003614	208691.345221263	6486781.609063234	136.0	87.2
GW042677.1.1	10003699	172973.81545496843	6469301.332252563	74.0	73.3
GW032937.1.1	10003732	212043.22084459913	6487554.051286662	113.0	96.3
GW005973.1.1	10003736	174027.90368153085	6556218.540855052	84.0	89.9
GW033832.1.1	10003783	188208.85506960907	6489451.645242073	146.0	73.5
GW042678.1.1	10003953	174692.25824603607	6466579.9571229145	79.0	77.8
GW031736.1.1	10003972	222939.65631994285	6486126.042993285	83.0	27.4
GW029437.1.1	10004002	247991.15714969172	6500299.389135718	84.0	126.2
GW004740.1.1	10004108	377534.7091096927	6715311.8670369275	128.0	0.0
GW010580.1.1	10004232	192500.9631388433	6610636.556984905	92.0	106.4
GW005034.1.1	10004273	533026.5731715811	6676689.690179098	122.3	0.0
GW071078.1.1	10004566	395231.93738344376	6671622.930354092	104.51	0.0
GW029761.1.1	10004585	116804.50380983169	6496183.988538047	106.0	77.1
GW031744.1.1	10004611	193985.84945548035	6488483.50835814	152.0	17.7
GW004653.1.1	10004631	478706.3725667565	6781456.576929873	133.0	133.5
GW800446.1.1	10004666	544856.3549245138	6671502.434490474	123.64	10.0
GW022468.1.1	10004727	147608.86300377722	6505145.561013868	75.43	25.9
GW004421.1.1	10004902	264371.7933049236	6671293.849707665	101.0	341.4
GW027958.1.1	10004946	256808.1442007063	6615268.073110037	92.0	190.5
GW008175.1.1	10005086	338499.3798645444	6713430.585606686	123.0	403.3
GW012102.1.1	10005094	307654.7916280613	6659784.330855038	118.0	68.6
GW013021.1.1	10005095	125393.18120279413	6593023.690004313	161.0	107.6
GW036848.3.1	10005106	285565.7810402013	6589746.816361773	91.02	0.0
GW006433.1.1	10005278	198138.08020942798	6649670.548281295	104.0	265.8
GW004394.1.1	10005298	246914.80362539808	6677592.799055571	104.47926330566406	320.4
GW036937.2.1	10005945	375690.3857954314	6654313.3333003	101.94	0.0
GW014318.1.1	10006326	505245.55722279917	6771072.949554181	128.77	355.1
GW009679.1.1	10006600	149787.33924081328	6520521.414946214	106.0	0.0
GW010746.1.1	10006658	568149.6656121905	6709434.702379046	160.0	292.6
GW003661.1.1	10006664	144492.9292751497	6609375.870456429	175.0	139.3
GW010804.1.1	10006685	196399.51433899347	6610469.584245997	87.0	76.2
GW006837.1.1	10006808	339871.35272644204	6639546.805201989	98.17	105.2
GW006956.1.1	10006906	292984.31634818355	6534693.219342383	122.0	0.0
GW031142.1.1	10006942	262009.86310297804	6573232.156274352	86.32	34.1
GW010161.1.1	10006960	158471.32158988708	6521179.259420509	112.0	0.0
GW018354.1.1	10007497	136651.22934928274	6495078.920651896	80.0	44.8
GW016707.1.1	10007503	203958.99923931801	6592614.590552569	85.0	89.9
GW003311.1.1	10007934	188397.04597608006	6486712.640667081	136.0	109.7
GW015586.1.1	10008101	244779.92466690764	6502162.549371034	86.0	111.3
GW022434.1.1	10008202	149534.91244351573	6464114.782669736	69.92	0.0
GW017845.1.1	10008558	279493.53965432744	6527115.854194544	113.0	83.8
GW013728.1.1	10008673	212783.84885517845	6555708.414426249	200.49	0.0
GW012123.1.1	10008759	297133.0066195694	6661504.408181541	105.0	71.3
GW022201.1.1	10008767	110917.80148661713	6501705.692991946	116.0	64.6
GW010328.1.1	10008785	246662.53451748038	6584249.117884731	87.54	76.8
GW010442.1.1	10008801	366068.2792685791	6687532.554997096	117.0	370.33
GW007511.1.1	10008806	183062.35829634825	6638822.437052785	107.0	203.3
GW006616.1.1	10008810	267891.3620487432	6656919.701156482	100.0	235.0
GW052518.1.1	10008875	157136.1734471664	6558121.109723829	88.0	125.0
GW021574.1.1	10008987	190243.25634001812	6580818.369266428	92.0	27.4
GW003837.1.1	10009164	334857.5710038556	6728896.551694884	155.0	122.5
GW023040.1.1	10009189	261458.65420570032	6683339.003556849	105.0	262.1
GW018706.1.1	10009204	244210.58825573826	6544896.858710354	84.04	0.0
GW006755.1.1	10009461	122950.58904942754	6592752.856058089	155.0	85.3
GW010775.1.1	10009580	365476.9720521682	6674439.993769723	115.0	331.3
GW004717.1.1	10009603	439309.1858672972	6783839.392601554	139.0	528.52
GW017449.1.1	10009608	551906.178045816	6716785.969255303	147.0	125.0
GW004675.1.1	10009611	392217.9385139735	6768225.6365836365	140.0	501.1
GW005620.1.1	10009730	565319.2670387771	6721548.400485911	144.0	143.3
GW013049.1.1	10009840	182327.18482454208	6607412.258971494	89.0	100.6
GW007596.1.1	10009879	201842.82843168086	6615184.096697601	89.0	133.5
GW010444.1.1	10010039	193155.72348270338	6474766.789630048	108.0	56.1
GW018653.1.1	10010265	186085.2022663362	6565803.355340095	141.0	93.0
GW013952.1.1	10010399	250181.64439581303	6523343.974460316	87.0	91.4
GW019693.1.1	10010407	478230.0006603614	6665790.087758455	121.0	11.9
GW004764.1.1	10010517	353146.4896805547	6693311.263274577	129.0	0.0
GW029673.1.1	10010796	204569.79140260216	6513982.745057006	83.25	14.0
GW004688.1.1	10010826	252787.19012366954	6690820.383648461	102.0	365.2
GW003725.1.1	10011193	126177.07965018973	6571421.122190764	158.0	88.4
GW033251.1.1	10011199	255067.66071270578	6511163.220227964	94.0	101.5
GW022591.1.1	10011210	419490.4511251783	6674874.687392516	106.45	10.1
GW022589.1.1	10011212	195930.70890562457	6632869.475227118	91.0	199.6
GW006445.1.1	10011217	586596.7312635839	6653773.129022876	128.0	59.7
GW006253.1.1	10011635	275699.87107986	6622177.749805625	131.0	93.7
GW061084.1.1	10011641	193514.76889375184	6548661.16008053	74.0	9.5
GW013937.1.1	10011662	247384.95116125915	6515479.218728259	87.0	86.9
GW803636.1.1	10011730	560821.9918948777	6706010.004542636	153.0	93.0
GW013640.1.1	10011986	219880.144993387	6559197.218931565	85.2	0.0
GW040874.3.1	10012041	156458.9351068471	6499773.953972863	72.11	0.0
GW017670.1.1	10012049	359085.6394284749	6694681.446759318	115.0	506.9
GW003651.1.1	10012219	372573.5518588375	6730834.36496803	130.0	136.55
GW004221.1.1	10012475	317562.92509994004	6677076.975157117	107.81454467773438	27.2
GW010756.1.1	10012497	317242.8078720011	6741003.330991139	133.0	231.0
GW006802.1.1	10012500	291952.60693767335	6722393.954989692	120.0	313.9
GW031430.1.1	10012525	225734.76535110903	6516966.149180913	79.92	21.3
GW004353.1.1	10012717	161615.91786018456	6569184.0645770505	90.0	608.7
GW010657.1.1	10012855	261116.41277328448	6551641.9873794615	86.49	63.4
GW020164.1.1	10012875	206210.5427731205	6622332.3314598035	90.0	167.6
GW018841.1.1	10012880	279812.42494942434	6595890.716938809	89.76	19.5
GW004667.1.1	10012885	418929.7817591299	6700266.6373180095	119.24569702148438	274.3
GW010282.1.1	10013015	334733.0804380449	6605378.36344165	118.0	0.0
GW003665.1.1	10013318	307449.08745075157	6697724.807232847	109.0	370.6
GW006673.1.1	10013390	126412.67583219172	6595126.569351487	163.0	39.6
GW004329.1.1	10013452	244013.5527928932	6603878.205386339	92.15670776367188	107.7
GW016344.1.1	10013503	528723.7963230599	6649337.223525759	124.13	0.0
GW010845.1.1	10013517	204679.03035334457	6476892.993795073	109.0	61.0
GW022021.1.1	10013548	132523.65313181147	6462098.560950421	72.0	42.4
GW010497.1.1	10013645	254810.3709539193	6552699.17265638	86.42	22.9
GW006727.1.1	10013916	284840.49148788216	6621254.3510927595	120.0	214.0
GW010777.1.1	10013924	378187.62567420024	6673048.452706421	104.19	350.5
GW017701.1.1	10014463	592814.0207137829	6700329.956703803	129.46	62.5
GW051941.1.1	10014520	145218.81301078503	6540575.208334392	96.0	94.0
GW063614.1.1	10014575	297960.2894066076	6537285.678156173	132.0	30.0
GW029762.1.1	10014584	180440.43516807165	6487394.471999279	82.28	25.6
GW010834.1.1	10014609	233828.61944232183	6590285.812067287	88.0	97.8
GW004767.1.1	10014858	249259.0077210804	6685380.00742165	101.0	321.0
GW010307.1.1	10015035	282178.80432231136	6560909.491030905	101.0	36.6
GW036882.2.1	10015263	602491.0082387754	6678955.083554085	129.46	0.0
GW035001.1.1	10015435	510252.8046185219	6664976.041026066	119.84	0.0
GW017558.1.1	10015444	246328.6779982034	6518720.526633246	89.0	96.0
GW965308.1.1	10015540	613620.6249964705	6676671.242324214	133.0	28.2
GW004612.1.1	10015821	495926.34247758077	6704193.5015944205	118.48	378.0
GW004430.1.1	10015826	295750.58593885077	6652392.136501497	118.00418853759766	245.0
GW011472.1.1	10015829	139090.1254262278	6520681.6131825615	96.0	98.8
GW012840.1.1	10016246	177107.71207318315	6616970.350404912	97.0	152.4
GW006532.1.1	10016257	342241.6661991216	6664062.525949283	117.0	79.3
GW005457.1.1	10016292	228158.95510852477	6495050.655819091	84.0	97.8
GW018243.1.1	10016664	302541.78186170594	6706447.163740431	105.0	333.5
GW020271.1.1	10016685	292070.5517212612	6547460.615797352	125.0	61.0
GW011342.1.1	10016696	131431.37309421145	6597243.968542431	195.0	157.0
GW044967.1.1	10016697	254810.3709539193	6552699.17265638	86.42	0.0
GW019701.1.1	10016707	475199.50990963384	6669046.406686149	121.0	12.3
GW016744.1.1	10016928	167353.88585766777	6618185.553319713	104.0	152.4
GW004176.1.1	10017075	245862.93077484085	6637449.295739685	94.0	176.8
GW004147.1.1	10017366	286087.4732622416	6650081.881326224	97.21162414550781	0.0
GW015629.1.1	10017406	565655.2103119409	6737675.2080312865	139.34	106.7
GW018654.1.1	10017421	361542.72513558436	6743480.674851559	137.0	315.5
GW018844.1.1	10017432	246070.42708923446	6631999.953755751	97.0	213.4
GW018716.1.1	10017658	454887.4445144739	6782649.397284339	143.0	12.2
GW801076.1.1	10017685	347864.84486044024	6707783.997266396	115.73	288.0
GW014208.1.1	10017819	546647.0472691021	6712469.138697168	143.0	99.1
GW004526.1.1	10017825	307911.5670425277	6684982.398373313	107.65070343017578	274.3
GW006051.1.1	10018001	259798.8856251694	6616259.417387232	98.0	150.3
GW003863.1.1	10018073	366332.196115542	6699019.886456703	110.0	29.3
GW003866.1.1	10018417	150400.64009950665	6526712.0827857535	86.0	153.6
GW049800.1.1	10018534	229134.65387013013	6490020.727911804	80.0	0.0
GW014229.1.1	10018642	217615.46029235085	6545665.770186249	80.68	40.2
GW005494.1.1	10018646	233651.5562508661	6522565.633373567	86.0	30.5
GW018151.1.1	10018671	289033.4239796284	6670715.808147362	109.0	190.5
GW065027.1.1	10018681	146197.48919965868	6451811.983441886	75.0	0.0
GW006186.1.1	10019121	509855.69245378167	6699880.909948679	118.09	309.4
GW034986.1.1	10019148	203461.1612189741	6553261.946882698	90.0	70.1
GW034234.1.1	10019325	461556.09141949064	6777226.217563687	149.0	0.0
GW096135.2.1	10019425	372919.6465708343	6652563.469410136	100.5	0.0
GW010480.1.1	10019598	186008.79359016742	6472546.149211876	105.0	51.8
GW005610.1.1	10019989	512076.2239820815	6693568.950928068	118.79	236.2
GW020165.1.1	10019995	202519.6719681588	6612890.674688632	90.0	35.4
GW017145.1.1	10019997	114294.58271647769	6580008.033209991	151.0	76.2
GW006336.1.1	10020047	476351.37563593284	6643839.053113017	132.0	67.4
GW053187.1.1	10020147	574515.773014723	6709424.864070761	166.0	0.0
GW012821.1.1	10020240	291439.5224620452	6633120.0968083795	113.0	100.6
GW036841.2.1	10020386	206178.94081992295	6516663.91444115	4.13	0.0
GW007046.1.1	10020406	230534.54461848811	6565915.807356341	84.33	0.0
GW803356.1.1	10020416	209747.44742388488	6597073.000647221	86.0	156.0
GW007331.1.1	10020425	353049.90986866155	6652357.640067154	105.14	202.7
GW011411.1.1	10020433	117077.6213154089	6542118.626555573	129.0	94.8
GW003676.1.1	10020455	135738.53124485072	6619696.038838696	169.0	123.8
GW006670.1.1	10020819	301198.7384389034	6623569.541136289	111.25	88.1
GW010154.1.1	10020851	142069.6877390445	6529515.691007031	97.0	0.0
GW010813.1.1	10020885	113810.96958571253	6480886.541543957	100.0	76.2
GW004313.1.1	10021273	228661.59483678156	6581063.520882327	92.72041320800781	272.8
GW805511.1.1	10021349	117279.38169969682	6488686.430134201	100.0	54.0
GW066626.1.1	10021430	322054.33623787976	6569108.87281392	203.4767608642578	79.6
GW039407.1.1	10021563	607636.8775677899	6678831.4636086915	132.22	638.0
GW017692.1.1	10021762	320639.68038440647	6652797.845847903	115.0	149.4
GW004760.1.1	10021765	202264.04389036004	6599966.549749704	86.0	106.7
GW007089.1.1	10021783	237555.71201223467	6670810.625030223	101.0	0.0
GW010436.1.1	10021940	161499.501785413	6471581.963118635	79.0	52.1
GW967019.1.1	10022227	351075.4487822928	6598840.528888846	139.0	72.0
GW021896.1.1	10022346	260480.915917399	6619170.88775954	93.0	167.6
GW006957.1.1	10022413	271418.80462587846	6622796.760040347	117.0	138.7
GW035761.1.1	10022489	116751.15846885566	6536520.6733624935	128.0	105.8
GW010641.1.1	10022639	187466.82036557724	6474811.155695502	98.0	42.7
GW005621.1.1	10022652	318931.8517098051	6696624.376804166	114.0	61.6
GW968004.1.1	10022990	611652.1820646963	6677519.533012793	132.0	27.1
GW006910.1.1	10023102	315392.6652484574	6651570.995238297	131.0	112.8
GW006032.1.1	10023132	265205.9526366547	6701503.0160138905	108.0	290.2
GW004423.1.1	10023394	420501.09418288385	6786186.708859058	143.0	542.5
GW970630.1.1	10023402	608519.9957232887	6679459.006080365	133.0	14.7
GW010904.1.1	10023538	307365.0890942366	6586133.1974036135	118.0	61.0
GW010589.1.1	10024018	160068.68523608387	6595259.131499739	147.0	92.1
