BoreID	HydroCode	FromDepth	ToDepth	GALithType	MajorLithCode	MinorLithCode	Description	X	Y	TopElev
40090280	4516	0.0	496.82	unk	UNKN		NO STRATA DETAILS	424911.5578547118	6801327.0663660485	143.6
40152181	10641A	0.0	1.83	unk	UNKN		RED SOIL	433988.51618354104	6801691.939705968	146.31
40152181	10641A	1.83	14.02	sandstone	SANDSTONE		SANDSTONE & CLAY	433988.51618354104	6801691.939705968	144.48
40152181	10641A	14.02	17.07	unk	UNKN		SALT WATER	433988.51618354104	6801691.939705968	132.29
40152181	10641A	17.07	20.12	clay	CLAY		COLOURED CLAYS	433988.51618354104	6801691.939705968	129.24
40152181	10641A	20.12	25.3	sand	SAND		DRIFT SAND	433988.51618354104	6801691.939705968	126.19
40152181	10641A	25.3	26.82	clay	CLAY		HARD CLAYS	433988.51618354104	6801691.939705968	121.01
40152181	10641A	26.82	32.0	limestone	LIMESTONE		LIMESTONE	433988.51618354104	6801691.939705968	119.49
40152181	10641A	32.0	38.1	clay	CLAY		HARD CLAY	433988.51618354104	6801691.939705968	114.31
40152181	10641A	38.1	51.82	shale	SHALE		BROWN SHALE	433988.51618354104	6801691.939705968	108.21
40152181	10641A	51.82	64.01	shale	SHALE		HARD GREY SHALE	433988.51618354104	6801691.939705968	94.49
40152181	10641A	64.01	64.62	shale	SHALE		GREY SHALE	433988.51618354104	6801691.939705968	82.3
40152181	10641A	64.62	94.49	shale	SHALE		GREY SHALE	433988.51618354104	6801691.939705968	81.69
40152181	10641A	94.49	97.54	sand	SAND		DRIFT SAND	433988.51618354104	6801691.939705968	51.82
40152181	10641A	97.54	108.2	clay	CLAY		GRAVELLY & BLUE CLAY	433988.51618354104	6801691.939705968	48.77
40152181	10641A	108.2	109.73	sand	SAND		DRIFT SAND	433988.51618354104	6801691.939705968	38.11
40152181	10641A	109.73	173.74	clay	CLAY		BLUE CLAY & BLUE SHALE	433988.51618354104	6801691.939705968	36.58
40152181	10641A	173.74	190.5	sandstone	SANDSTONE		GRAVELLY SANDSTONE	433988.51618354104	6801691.939705968	-27.43
