BoreID,HydroCode,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,Description,Author,Source,Comment,Scenario,LogType,HydroID,NafHGUName,GA_UNIT,GA_STRATNO
40090280,4516,143.6,NGS,0,,143.6,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40090280,4516,143.6,NGS,,496.8,,-353.2,-49999999,-9999,-9999,HOORAY SANDSTONE,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40004926,4645,137.2,NGS,0,,137.2,,41000169,1168,119001,TERTIARY SEDIMENTS,UNK,QLD DNRME GWDB - DNR,,1,1,41000169,Undifferentiated Tertiary sediments,,-999999
40004926,4645,137.2,NGS,,65.5,,71.7,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40153914,5476,127.4,NGS,0,30.5,127.4,96.9,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40106874,5689,128.1,NGS,0,7.3,128.1,120.8,41000169,1168,119001,TERTIARY SEDIMENTS,UNK,QLD DNRME GWDB - DNR,,1,1,41000169,Undifferentiated Tertiary sediments,,-999999
40047977,5690,127.7,NGS,0,30.5,127.7,97.2,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40123659,10978,131.1,NGS,0,,131.1,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40123659,10978,131.1,NGS,,135.3,,-4.2,-49999999,-9999,-9999,WALLUMBILLA FORMATION,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40152181,10641A,137.2,NGS,0,25.9,137.2,111.3,-49999999,-9999,-9999,ALLUVIUM,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40152181,10641A,137.2,NGS,25.9,61.9,111.3,75.3,-49999999,-9999,-9999,TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40152181,10641A,137.2,NGS,61.9,187.8,75.3,-50.6,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40152181,10641A,137.2,NGS,187.8,341.4,-50.6,-204.2,-49999999,-9999,-9999,DONCASTER MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40152181,10641A,137.2,NGS,341.4,376.1,-204.2,-238.9,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40152181,10641A,137.2,NGS,376.1,412.7,-238.9,-275.5,41000262,1244,122003,CADNA-OWIE FORMATION,UNK,QLD DNRME GWDB - DNR,,1,1,41000262,GAB Lower Cretaceous to Jurassic sedimentary aquifer,,-999999
40152181,10641A,137.2,NGS,412.7,461.8,-275.5,-324.6,-49999999,-9999,-9999,HOORAY SANDSTONE,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40152181,10641A,137.2,NGS,461.8,478.5,-324.6,-341.3,41000517,1470,133221,TIMBURY HILLS FORMATION,UNK,QLD DNRME GWDB - DNR,,1,1,41000517,Timbury Hills Formation,,-999999
40123058,10979A,132,NGS,0,,132,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40123058,10979A,132,NGS,,169.2,,-37.2,-49999999,-9999,-9999,DONCASTER MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40146604,11591A,131.1,NGS,0,33.2,131.1,97.9,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40146604,11591A,131.1,NGS,33.2,160,97.9,-28.9,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40143307,12104A,147.24,NGS,0,10.7,147.24,136.54,-49999999,-9999,-9999,ALLUVIUM,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40143307,12104A,147.24,NGS,10.7,28,136.54,119.24,41000169,1168,119001,TERTIARY SEDIMENTS,UNK,QLD DNRME GWDB - DNR,,1,1,41000169,Undifferentiated Tertiary sediments,,-999999
40143307,12104A,147.24,NGS,28,,119.24,,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40143307,12104A,147.24,NGS,359.7,,-212.46,,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40143307,12104A,147.24,NGS,,359.7,,-212.46,-49999999,-9999,-9999,DONCASTER MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40143307,12104A,147.24,NGS,,471.8,,-324.56,-49999999,-9999,-9999,HOORAY SANDSTONE,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40149635,12214A,137,NGS,0,12.2,137,124.8,-49999999,-9999,-9999,ALLUVIUM,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40149635,12214A,137,NGS,12.2,30.5,124.8,106.5,-49999999,-9999,-9999,TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40149635,12214A,137,NGS,30.5,,106.5,,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40149635,12214A,137,NGS,352,370.3,-215,-233.3,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40149635,12214A,137,NGS,,352,,-215,-49999999,-9999,-9999,DONCASTER MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40136062,12472A,132.3,NGS,0,24.4,132.3,107.9,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40136062,12472A,132.3,NGS,24.4,,107.9,,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40136062,12472A,132.3,NGS,,345.9,,-213.6,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40151891,12580A,144.84,NGS,0,12.2,144.84,132.64,-49999999,-9999,-9999,ALLUVIUM,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40151891,12580A,144.84,NGS,12.2,,132.64,,41000169,1168,119001,TERTIARY SEDIMENTS,UNK,QLD DNRME GWDB - DNR,,1,1,41000169,Undifferentiated Tertiary sediments,,-999999
40151891,12580A,144.84,NGS,225.6,361.8,-80.76,-216.96,-49999999,-9999,-9999,DONCASTER MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40151891,12580A,144.84,NGS,361.8,397.5,-216.96,-252.66,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40151891,12580A,144.84,NGS,397.5,481.6,-252.66,-336.76,41000262,1244,122003,CADNA-OWIE FORMATION,UNK,QLD DNRME GWDB - DNR,,1,1,41000262,GAB Lower Cretaceous to Jurassic sedimentary aquifer,,-999999
40151891,12580A,144.84,NGS,481.6,507.5,-336.76,-362.66,-49999999,-9999,-9999,HOORAY SANDSTONE,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40151891,12580A,144.84,NGS,507.5,518.2,-362.66,-373.36,41000517,1470,133221,TIMBURY HILLS FORMATION,UNK,QLD DNRME GWDB - DNR,,1,1,41000517,Timbury Hills Formation,,-999999
40151891,12580A,144.84,NGS,,225.6,,-80.76,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40146373,13260A,143.46,NGS,0,2.7,143.46,140.76,-49999999,-9999,-9999,ALLUVIUM,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40146373,13260A,143.46,NGS,2.7,37.2,140.76,106.26,41000169,1168,119001,TERTIARY SEDIMENTS,UNK,QLD DNRME GWDB - DNR,,1,1,41000169,Undifferentiated Tertiary sediments,,-999999
40146373,13260A,143.46,NGS,37.2,195.1,106.26,-51.64,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40146373,13260A,143.46,NGS,195.1,320,-51.64,-176.54,-49999999,-9999,-9999,DONCASTER MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40146373,13260A,143.46,NGS,320,357.2,-176.54,-213.74,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40146373,13260A,143.46,NGS,357.2,396.8,-213.74,-253.34,41000262,1244,122003,CADNA-OWIE FORMATION,UNK,QLD DNRME GWDB - DNR,,1,1,41000262,GAB Lower Cretaceous to Jurassic sedimentary aquifer,,-999999
40146373,13260A,143.46,NGS,396.8,434.3,-253.34,-290.84,-49999999,-9999,-9999,HOORAY SANDSTONE,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40150892,14100A,137.2,NGS,0,,137.2,,-49999999,-9999,-9999,ALLUVIUM,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40150892,14100A,137.2,NGS,19.8,,117.4,,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40150892,14100A,137.2,NGS,,357.2,,-220,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40150892,14100A,137.2,NGS,,19.8,,117.4,-49999999,-9999,-9999,TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40141615,18194A,140.62,NGS,0,,140.62,,-49999999,-9999,-9999,ALLUVIUM,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40141615,18194A,140.62,NGS,,496.8,,-356.18,-49999999,-9999,-9999,HOORAY SANDSTONE,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40137229,4521A,140.6,NGS,0,,140.6,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40137229,4521A,140.6,NGS,,513.6,,-373,-49999999,-9999,-9999,HOORAY SANDSTONE,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40141179,4525A,146,NGS,0,,146,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40141179,4525A,146,NGS,,495.6,,-349.6,-49999999,-9999,-9999,HOORAY SANDSTONE,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40141857,4640A,135.67,NGS,0,,135.67,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40141857,4640A,135.67,NGS,,533.4,,-397.73,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40142449,4642A,137.2,NGS,0,,137.2,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40142449,4642A,137.2,NGS,,74.4,,62.8,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40135252,4643A,137.2,NGS,0,,137.2,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40135252,4643A,137.2,NGS,,76.2,,61,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40042447,4644A,137.2,NGS,0,,137.2,,41000169,1168,119001,TERTIARY SEDIMENTS,UNK,QLD DNRME GWDB - DNR,,1,1,41000169,Undifferentiated Tertiary sediments,,-999999
40042447,4644A,137.2,NGS,,76.2,,61,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40132454,4647A,129,NGS,0,,129,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40132454,4647A,129,NGS,150.6,167.3,-21.6,-38.3,-49999999,-9999,-9999,DONCASTER MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40132454,4647A,129,NGS,,150.6,,-21.6,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40027463,4648A,131.7,NGS,0,,131.7,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40027463,4648A,131.7,NGS,,106.7,,25,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40140599,4649A,131.7,NGS,0,,131.7,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40140599,4649A,131.7,NGS,,145.7,,-14,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40144527,4654A,129.3,NGS,0,,129.3,,-49999999,-9999,-9999,ALLUVIUM,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40144527,4654A,129.3,NGS,46,,83.3,,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40144527,4654A,129.3,NGS,,426.7,,-297.4,41000262,1244,122003,CADNA-OWIE FORMATION,UNK,QLD DNRME GWDB - DNR,,1,1,41000262,GAB Lower Cretaceous to Jurassic sedimentary aquifer,,-999999
40144527,4654A,129.3,NGS,,46,,83.3,41000169,1168,119001,TERTIARY SEDIMENTS,UNK,QLD DNRME GWDB - DNR,,1,1,41000169,Undifferentiated Tertiary sediments,,-999999
40142426,6963A,127.1,NGS,0,,127.1,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40142426,6963A,127.1,NGS,,396.2,,-269.1,-49999999,-9999,-9999,WYANDRA SANDSTONE MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40137532,7080A,137.79,NGS,0,,137.79,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40137532,7080A,137.79,NGS,,245.4,,-107.61,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40095561,7105A,136.96,NGS,0,,136.96,,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40095561,7105A,136.96,NGS,,242.6,,-105.64,-49999999,-9999,-9999,COREENA MEMBER,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
40005648,7114A,138,NGS,0,94.8,138,43.2,-49999999,-9999,-9999,QUATERNARY*TERTIARY,UNK,QLD DNRME GWDB - DNR,,1,1,-49999999,Unknown,,-999999
10850150,Booligal Creek 1,,,0,129,,,,,,Cenozoic alluvium,UNK,Well Completion Report,,1,1,-49999999,Unknown,,-999999
10850150,Booligal Creek 1,,,129,267,,,11000023,110007,110008,"? Renmark Gp? firm cemented sandstone of Tertiary age, light brown, cross-bedded, occasional clay bands",UNK,Well Completion Report,,1,1,11000023,Renmark Group,Renmark Group,16036
10850150,Booligal Creek 1,,,267,400,,,,,,Devonian sandstone,UNK,Well Completion Report,,1,1,31000123,Undifferentiated Proterozoic to Mesozoic bedrock,,-999999
10083078,GW003241.1.1,93.78,UNK,0,6.1,93.78,87.68,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10083078,GW003241.1.1,93.78,UNK,6.1,20.73,87.68,73.05,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10083078,GW003241.1.1,93.78,UNK,20.73,51.21,73.05,42.57,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10083078,GW003241.1.1,93.78,UNK,51.21,59.74,42.57,34.04,11000015,109007,109007,Shale,UNK,UNK,,0,1,11000015,Calivil Formation,Calivil Formation,3322
10083078,GW003241.1.1,93.78,UNK,59.74,91.74,34.04,2.04,11000015,109007,109007,Sand,UNK,UNK,,0,1,11000015,Calivil Formation,Calivil Formation,3322
10083078,GW003241.1.1,93.78,UNK,91.74,114.6,2.04,-20.82,11000024,115028,115024,Clay,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10083078,GW003241.1.1,93.78,UNK,114.6,118.87,-20.82,-25.09,11000024,115028,115024,(Unknown),UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10083078,GW003241.1.1,93.78,UNK,118.87,124.05,-25.09,-30.27,11000024,115028,115024,Sandstone,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10083078,GW003241.1.1,93.78,UNK,124.05,143.87,-30.27,-50.09,11000010,133238,133270,Quartzite,UNK,UNK,,0,1,11000010,Lachlan Fold Belt - Undifferentiated,,-999999
10083078,GW003241.1.1,93.78,UNK,143.87,161.54,-50.09,-67.76,11000010,133238,133270,Slate,UNK,UNK,,0,1,11000010,Lachlan Fold Belt - Undifferentiated,,-999999
10083078,GW003241.1.1,93.78,UNK,161.54,173.74,-67.76,-79.96,11000010,133238,133270,Quartzite,UNK,UNK,,0,1,11000010,Lachlan Fold Belt - Undifferentiated,,-999999
10089961,GW003390.1.1,76.23,UNK,0,6.1,76.23,70.13,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10089961,GW003390.1.1,76.23,UNK,6.1,6.71,70.13,69.52,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10089961,GW003390.1.1,76.23,UNK,6.71,26.52,69.52,49.71,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10089961,GW003390.1.1,76.23,UNK,26.52,33.53,49.71,42.7,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10089961,GW003390.1.1,76.23,UNK,33.53,43.59,42.7,32.64,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10089961,GW003390.1.1,76.23,UNK,43.59,48.77,32.64,27.46,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10089961,GW003390.1.1,76.23,UNK,48.77,51.82,27.46,24.41,11000014,104011,104010,(Unknown),UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10089961,GW003390.1.1,76.23,UNK,51.82,52.73,24.41,23.5,11000024,115028,115024,Sand,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,52.73,60.96,23.5,15.27,11000024,115028,115024,Clay,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,60.96,72.24,15.27,3.99,11000024,115028,115024,Clay,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,72.24,80.47,3.99,-4.24,11000024,115028,115024,Sandstone,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,80.47,80.77,-4.24,-4.54,11000024,115028,115024,Clay,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,80.77,83.52,-4.54,-7.29,11000024,115028,115024,Sandstone,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,83.52,86.26,-7.29,-10.03,11000024,115028,115024,Quartzite,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,86.26,86.56,-10.03,-10.33,11000024,115028,115024,Clay,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,86.56,87.48,-10.33,-11.25,11000024,115028,115024,Quartzite,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10089961,GW003390.1.1,76.23,UNK,87.48,88.09,-11.25,-11.86,11000024,115028,115024,Clay,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10099093,GW003406.1.1,75.84,UNK,0,4.57,75.84,71.27,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10099093,GW003406.1.1,75.84,UNK,4.57,21.34,71.27,54.5,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10099093,GW003406.1.1,75.84,UNK,21.34,26.82,54.5,49.02,11000014,104011,104010,Sand,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10099093,GW003406.1.1,75.84,UNK,26.82,27.74,49.02,48.1,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10099093,GW003406.1.1,75.84,UNK,27.74,29.57,48.1,46.27,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10099093,GW003406.1.1,75.84,UNK,27.74,29.57,48.1,46.27,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
10099093,GW003406.1.1,75.84,UNK,29.57,33.22,46.27,42.62,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10099093,GW003406.1.1,75.84,UNK,29.57,33.22,46.27,42.62,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
10099093,GW003406.1.1,75.84,UNK,33.22,36.88,42.62,38.96,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
