HydroID,BoreName,HydroCode,StateBoreID,StatePipeID,StateTerritory,Agency,WCode,BoreDepth,DrilledDepth,Status,DrilledDate,HGUID,HGUNumber,HGUName,NafHGUNumber,AquiferType,FType,Latitude,Longitude,Easting,Northing,Projection,ProjectionZone,CoordMethod,HeightDatum,RefElev,RefElevDesc,RefElevMethod,TsRefElev,TsRefElevDesc,TsRefElevMethod,LandElev,LandElevMethod,IsMultiPipe,FTypeClass,ConstructionLog,LithLog,HydrostratLog,WaterLevel,Salinity,geometry,AddedBy,Comment,Source,QAQCd_By,QAQC_date
10000037,,GW009673.1.1,GW009673,1.1,1,1,8,79.2,,UNK,1951-01-01T00:00:00,-19999999,-9999,Unknown,-9999,,UNK,-31.343751,143.2784736,716759,6530058,1,54,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Unknown,0,0,0,0,0,POINT (1061377.708099999 -3460760.5156),Neil Symington,,NGIS,,
10000045,,GW036806.2.1,GW036806,2.1,1,1,8,,,UNK,,-19999999,-9999,Unknown,-9999,,UNK,-31.7415,143.3172,719512.5,6485883.1,1,54,MAP,AHD,2.369,NGS,UNK,,UNK,UNK,74.353,LIDAR,2,Unknown,0,0,0,0,0,POINT (1061073.427200001 -3505434.235200001),Neil Symington,,NGIS,,
10000076,,GW007314.1.1,GW007314,1.1,1,1,8,55.8,55.8,UNK,1946-12-01T00:00:00,-19999999,-9999,Unknown,-9999,,STOK,-30.9662372,144.8870603,298193,6572225,1,55,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Stock and Domestic,1,1,0,0,0,POINT (1216532.1734 -3433010.327199999),Neil Symington,,NGIS,,
10000087,,GW018466.1.1,GW018466,1.1,1,1,8,44.2,44.2,UNK,1960-06-01T00:00:00,-19999999,-9999,Unknown,-9999,,STOK,-30.7512468,143.6890183,757419,6594876,1,54,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Stock and Domestic,0,1,0,0,0,POINT (1105970.175299998 -3398146.753),Neil Symington,,NGIS,,
10000088,,GW003441.1.1,GW003441,1.1,1,1,8,97.8,97.8,UNK,1936-11-01T00:00:00,-19999999,-9999,Unknown,-9999,,STOK,-31.2976378,143.4793042,735985,6534758,1,54,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Stock and Domestic,0,1,0,0,0,POINT (1080690.0625 -3457301.161499999),Neil Symington,,NGIS,,
10000096,,GW019750.1.1,GW019750,1.1,1,1,8,253,253,UNK,1960-09-01T00:00:00,-19999999,-9999,Unknown,-9999,,STOK,-30.256248,143.8181769,771160,6649458,1,54,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Stock and Domestic,1,1,0,0,0,POINT (1123280.0638 -3344037.2292),Neil Symington,,NGIS,,
10000115,,GW006369.1.1,GW006369,1.1,1,1,8,46.3,46.3,UNK,1938-08-01T00:00:00,-19999999,-9999,Unknown,-9999,,STOK,-30.8798472,145.0853891,316975,6582144,1,55,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Stock and Domestic,1,1,0,0,0,POINT (1236178.777899999 -3425286.6324),Neil Symington,,NGIS,,
10000118,,GW003504.1.1,GW003504,1.1,1,1,8,40.8,40.8,NON,1937-05-01T00:00:00,-19999999,-9999,Unknown,-9999,,STOK,-31.0337452,143.88902,775761,6563072,1,54,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Stock and Domestic,0,1,0,0,0,POINT (1121898.581599999 -3431402.4933),Neil Symington,,NGIS,,
10000119,,GW003712.1.1,GW003712,1.1,1,1,8,167.3,167.3,UNK,1940-05-01T00:00:00,-19999999,-9999,Unknown,-9999,,STOK,-30.5306909,143.8901235,777308,6618853,1,54,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Stock and Domestic,1,1,0,0,0,POINT (1127240.199299999 -3375296.332),Neil Symington,,NGIS,,
10000165,,GW012153.1.1,GW012153,1.1,1,1,8,88.4,88.4,UNK,1957-10-01T00:00:00,-19999999,-9999,Unknown,-9999,,STOK,-30.362904,145.0334398,311005,6639361,1,55,MAP,AHD,,UNK,UNK,,UNK,UNK,,UNK,0,Stock and Domestic,1,1,0,0,0,POINT (1237187.284899998 -3367161.885399999),Neil Symington,,NGIS,,
