BoreID,HydroCode,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType
40152181,10641A,137.2,NGS,,478.8,,-341.6,PFC,UNK,,,SLAP,,UNK,1
40152181,10641A,137.2,NGS,,131.1,,6.1,LIN,STL,,127,UNK,,UNK,1
40152181,10641A,137.2,NGS,,473,,-335.8,LIN,STL,,152,UNK,,UNK,1
40152181,10641A,137.2,NGS,0,61,137.2,76.2,LIN,STL,,203,UNK,,UNK,1
40146604,11591A,131.1,NGS,,159.2,,-28.1,LIN,STL,,127,UNK,,UNK,1
40146604,11591A,131.1,NGS,,160.1,,-29,PFC,UNK,,,SLAP,,UNK,1
40146604,11591A,131.1,NGS,0,49.4,131.1,81.7,LIN,STL,,152,UNK,,UNK,1
40143307,12104A,147.24,NGS,472.1,472.1,-324.86,-324.86,OPEN,UNK,,,UNK,,UNK,1
40143307,12104A,147.24,NGS,,458.4,,-311.16,LIN,STL,,152,UNK,,UNK,1
40143307,12104A,147.24,NGS,0,75.6,147.24,71.64,LIN,STL,,203,UNK,,UNK,1
40149635,12214A,137,NGS,0,92.4,137,44.6,LIN,STL,,152,UNK,,UNK,1
40149635,12214A,137,NGS,,365.3,,-228.3,LIN,STL,,127,UNK,,UNK,1
40149635,12214A,137,NGS,370.5,370.5,-233.5,-233.5,OPEN,UNK,,,UNK,,UNK,1
40136062,12472A,132.3,NGS,0,61.6,132.3,70.7,LIN,STL,,152,UNK,,UNK,1
40136062,12472A,132.3,NGS,,346.1,,-213.8,LIN,STL,,127,UNK,,UNK,1
40136062,12472A,132.3,NGS,339,346.1,-206.7,-213.8,PFC,UNK,,,SLAP,,UNK,1
40136062,12472A,132.3,NGS,0,61.6,132.3,70.7,SEAL,CMT,,168,UNK,,UNK,1
40151891,12580A,144.84,NGS,0,110.4,144.84,34.44,LIN,STL,,152,UNK,,UNK,1
40151891,12580A,144.84,NGS,,518.5,,-373.66,PFC,UNK,,,SLAP,,UNK,1
40151891,12580A,144.84,NGS,,518.5,,-373.66,LIN,STL,,127,UNK,,UNK,1
40146373,13260A,143.46,NGS,,434.6,,-291.14,LIN,STL,,127,UNK,,UNK,1
40146373,13260A,143.46,NGS,424.3,424.3,-280.84,-280.84,OPEN,UNK,,,UNK,,UNK,1
40146373,13260A,143.46,NGS,0,20.8,143.46,122.66,LIN,STL,,203,UNK,,UNK,1
40146373,13260A,143.46,NGS,,92.4,,51.06,LIN,STL,,152,UNK,,UNK,1
40150892,14100A,137.2,NGS,0,90.8,137.2,46.4,LIN,STL,,152,UNK,,UNK,1
40150892,14100A,137.2,NGS,,359.9,,-222.7,LIN,STL,,127,UNK,,UNK,1
40141615,18194A,140.62,NGS,0,18.6,140.62,122.02,LIN,STL,,203,UNK,,UNK,1
40141615,18194A,140.62,NGS,,71,,69.62,LIN,STL,,152,UNK,,UNK,1
40141615,18194A,140.62,NGS,497.1,497.1,-356.48,-356.48,OPEN,UNK,,,UNK,,UNK,1
40137532,7080A,137.79,NGS,0,245.3,137.79,-107.51,LIN,STL,,152,UNK,,UNK,1
40137532,7080A,137.79,NGS,0,45.5,137.79,92.29,SEAL,CMT,,,UNK,,UNK,1
40137532,7080A,137.79,NGS,0,45.5,137.79,92.29,LIN,STL,,203,UNK,,UNK,1
40095561,7105A,136.96,NGS,0,239,136.96,-102.04,LIN,STL,,152,UNK,,UNK,1
40095561,7105A,136.96,NGS,239,242.6,-102.04,-105.64,VOID,UNK,,,UNK,,UNK,1
40095561,7105A,136.96,NGS,0,57.9,136.96,79.06,SEAL,CMT,,,UNK,,UNK,1
40095561,7105A,136.96,NGS,0,57.9,136.96,79.06,LIN,STL,,203,UNK,,UNK,1
40005648,7114A,138,NGS,82,94.7,56,43.3,VOID,UNK,,,UNK,,UNK,1
40005648,7114A,138,NGS,,82,,56,LIN,STL,,152,UNK,,UNK,1
40005648,7114A,138,NGS,0,40.5,138,97.5,SEAL,CMT,,,UNK,,UNK,1
40005648,7114A,138,NGS,0,40.5,138,97.5,LIN,STL,,203,UNK,,UNK,1
40142426,6963A,127.1,NGS,0,49.1,127.1,78,LIN,STL,,152,UNK,,UNK,1
40142426,6963A,127.1,NGS,,360.5,,-233.4,LIN,STL,,127,UNK,,UNK,1
40142426,6963A,127.1,NGS,,390.4,,-263.3,PFC,UNK,,,SLAP,,UNK,1
40105296,26246A,137.59,NGS,0,127.9,137.59,9.69,LIN,STL,,177,UNK,,UNK,1
40105296,26246A,137.59,NGS,0,15.2,137.59,122.39,LIN,STL,,244,UNK,,UNK,1
40141857,4640A,135.67,NGS,,533.4,,-397.73,LIN,STL,,127,UNK,,UNK,1
40142449,4642A,137.2,NGS,0,74.4,137.2,62.8,LIN,STL,,101,UNK,,UNK,1
40135252,4643A,137.2,NGS,0,76.2,137.2,61,LIN,STL,,101,UNK,,UNK,1
40132454,4647A,129,NGS,0,61,129,68,LIN,STL,,152,UNK,,UNK,1
40132454,4647A,129,NGS,,167.4,,-38.4,PFC,UNK,,,SLAP,,UNK,1
40132454,4647A,129,NGS,,112.8,,16.2,LIN,STL,,127,UNK,,UNK,1
40027463,4648A,131.7,NGS,,106.7,,25,LIN,STL,,127,UNK,,UNK,1
40027463,4648A,131.7,NGS,,106.7,,25,PFC,UNK,,,SLAP,,UNK,1
40027463,4648A,131.7,NGS,0,61.6,131.7,70.1,LIN,STL,,152,UNK,,UNK,1
40140599,4649A,131.7,NGS,0,91.5,131.7,40.2,LIN,STL,,152,UNK,,UNK,1
40140599,4649A,131.7,NGS,,176.9,,-45.2,LIN,STL,,127,UNK,,UNK,1
40140599,4649A,131.7,NGS,,189.7,,-58,PFC,UNK,,,SLAP,,UNK,1
40144527,4654A,129.3,NGS,0,91.5,129.3,37.8,LIN,STL,,152,UNK,,UNK,1
40144527,4654A,129.3,NGS,,305,,-175.7,LIN,STL,,127,UNK,,UNK,1
40144527,4654A,129.3,NGS,,427,,-297.7,LIN,STL,,101,UNK,,UNK,1
10055523,GW850020.1.0,,NGS,0,430,,,LIN,UNK,,,UNK,,UNK,1
10055523,GW850020.1.0,,NGS,0,82.7,,,UNK,UNK,,355.6,UNK,,ROT,1
10055523,GW850020.1.0,,NGS,82.7,531,,,UNK,UNK,,247.7,UNK,,ROT,1
10000076,GW007314.1.1,,NGS,52.7,55.7,,,INLT,UNK,,,UNK,,UNK,1
10152521,GW904015.1.1,,NGS,386,414,,,LIN,UNK,,,UNK,,UNK,1
10152521,GW904015.1.1,,NGS,244,254,,,INLT,UNK,155.5,168.3,UNK,,UNK,1
10152521,GW904015.1.1,,NGS,0.001,12,,,LIN,UNK,240.4,250,UNK,,UNK,1
10152521,GW904015.1.1,,NGS,0.002,122,,,LIN,UNK,206.3,219.1,UNK,,UNK,1
10152521,GW904015.1.1,,NGS,122,254,,,LIN,UNK,155.5,168.3,UNK,,UNK,1
10152521,GW904015.1.1,,NGS,254,386,,,LIN,UNK,128.5,141.3,UNK,,UNK,1
10152521,GW904015.1.1,,NGS,314,324,,,INLT,UNK,128.5,141.3,UNK,,UNK,1
10152521,GW904015.1.1,,NGS,363,372,,,INLT,UNK,128.5,141.3,UNK,,UNK,1
10036294,GW063611.1.1,,NGS,0,64.5,,,LIN,UNK,,135,UNK,,UNK,1
10036294,GW063611.1.1,,NGS,0,46,,,LIN,UNK,,165,UNK,,UNK,1
10036294,GW063611.1.1,,NGS,64.5,66,,,INLT,UNK,,125,UNK,,UNK,1
10043691,GW006481.1.1,,NGS,0,93.8,,,LIN,UNK,,152,UNK,,UNK,1
10129506,GW003636.1.1,,NGS,205.9,221.8,,,LIN,UNK,,152,UNK,,UNK,1
10129506,GW003636.1.1,,NGS,211.6,315.8,,,LIN,UNK,,127,UNK,,UNK,1
