BoreID,HydroCode,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,GALithType,MajorLithCode,MinorLithCode,Description,Source,LogType,OgcFidTemp
40090280,4516,143.6,NGS,0,496.82,143.6,-353.22,unk,UNKN,,NO STRATA DETAILS,QLD DNRME GWDB,1,7782880
40152181,10641A,137.2,NGS,0,1.83,137.2,135.37,unk,UNKN,,RED SOIL,QLD DNRME GWDB,1,6880016
40152181,10641A,137.2,NGS,1.83,14.02,135.37,123.18,sandstone,SANDSTONE,,SANDSTONE & CLAY,QLD DNRME GWDB,1,6880017
40152181,10641A,137.2,NGS,14.02,17.07,123.18,120.13,unk,UNKN,,SALT WATER,QLD DNRME GWDB,1,6880018
40152181,10641A,137.2,NGS,17.07,20.12,120.13,117.08,clay,CLAY,,COLOURED CLAYS,QLD DNRME GWDB,1,6880019
40152181,10641A,137.2,NGS,20.12,25.3,117.08,111.9,sand,SAND,,DRIFT SAND,QLD DNRME GWDB,1,6880020
40152181,10641A,137.2,NGS,25.3,26.82,111.9,110.38,clay,CLAY,,HARD CLAYS,QLD DNRME GWDB,1,6880021
40152181,10641A,137.2,NGS,26.82,32,110.38,105.2,limestone,LIMESTONE,,LIMESTONE,QLD DNRME GWDB,1,6880022
40152181,10641A,137.2,NGS,32,38.1,105.2,99.1,clay,CLAY,,HARD CLAY,QLD DNRME GWDB,1,6880023
40152181,10641A,137.2,NGS,38.1,51.82,99.1,85.38,shale,SHALE,,BROWN SHALE,QLD DNRME GWDB,1,6880024
40152181,10641A,137.2,NGS,51.82,64.01,85.38,73.19,shale,SHALE,,HARD GREY SHALE,QLD DNRME GWDB,1,6880025
40152181,10641A,137.2,NGS,64.01,64.62,73.19,72.58,shale,SHALE,,GREY SHALE,QLD DNRME GWDB,1,6880026
40152181,10641A,137.2,NGS,64.62,94.49,72.58,42.71,shale,SHALE,,GREY SHALE,QLD DNRME GWDB,1,6880027
40152181,10641A,137.2,NGS,94.49,97.54,42.71,39.66,sand,SAND,,DRIFT SAND,QLD DNRME GWDB,1,6880028
40152181,10641A,137.2,NGS,97.54,108.2,39.66,29,clay,CLAY,,GRAVELLY & BLUE CLAY,QLD DNRME GWDB,1,6880029
40152181,10641A,137.2,NGS,108.2,109.73,29,27.47,sand,SAND,,DRIFT SAND,QLD DNRME GWDB,1,6880030
40152181,10641A,137.2,NGS,109.73,173.74,27.47,-36.54,clay,CLAY,,BLUE CLAY & BLUE SHALE,QLD DNRME GWDB,1,6880031
40152181,10641A,137.2,NGS,173.74,190.5,-36.54,-53.3,sandstone,SANDSTONE,,GRAVELLY SANDSTONE,QLD DNRME GWDB,1,6880032
40152181,10641A,137.2,NGS,190.5,213.36,-53.3,-76.16,sandstone,SANDSTONE,,BLUE SANDY SANDSTONE & CLAY,QLD DNRME GWDB,1,6880033
40152181,10641A,137.2,NGS,213.36,304.8,-76.16,-167.6,shale,SHALE,,GRAVELLY SHALE,QLD DNRME GWDB,1,6880034
40152181,10641A,137.2,NGS,304.8,341.38,-167.6,-204.18,shale,SHALE,,BLUE SHALE,QLD DNRME GWDB,1,6880015
40152181,10641A,137.2,NGS,341.38,344.42,-204.18,-207.22,shale,SHALE,,BLUE GRAVELLY SHALE,QLD DNRME GWDB,1,6880035
